,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,542.0,44.0,46.0,0.0,69.9,209.0,3.0,9.0,2,379,58,1
1,168.0,97.0,21.0,19.0,49.9,209.0,3.0,9.0,32,379,58,0
2,144.0,97.0,65.0,2.0,24.9,209.0,3.0,9.0,32,379,58,0
3,86.0,100.0,63.0,4.0,79.9,226.0,3.0,9.0,24,317,65,0
4,18.0,97.0,21.0,13.0,69.9,229.0,2.0,1.0,1,50,44,1
5,176.0,46.0,41.0,16.0,109.9,234.0,3.0,9.0,7,411,55,1
6,268.0,57.0,41.0,49.0,79.95,244.0,3.0,5.0,-1,14,-1,0
7,24.0,100.0,21.0,4.0,79.9,256.0,3.0,3.0,1,411,49,0
8,70.0,1.0,47.0,20.0,69.95,258.0,3.0,6.0,3,19,48,1
9,171.0,60.0,17.0,0.0,129.9,283.0,3.0,9.0,12,410,55,0
10,109.0,59.0,47.0,0.0,89.9,283.0,3.0,9.0,12,410,55,0
11,356.0,100.0,39.0,4.0,59.9,284.0,3.0,1.0,-1,0,63,0
12,86.0,96.0,46.0,4.0,79.9,285.0,3.0,3.0,25,0,51,1
13,4.0,96.0,78.0,4.0,69.9,288.0,3.0,0.0,8,207,60,0
14,128.0,54.0,65.0,49.0,69.95,288.0,3.0,0.0,18,207,60,0
15,125.0,81.0,71.0,20.0,79.95,290.0,3.0,1.0,2,410,48,1
16,556.0,54.0,71.0,0.0,79.9,291.0,3.0,0.0,2,54,-1,1
17,81.0,102.0,71.0,4.0,69.9,292.0,3.0,7.0,3,410,56,1
18,579.0,50.0,71.0,14.0,56.95,292.0,3.0,7.0,40,410,56,0
19,79.0,46.0,47.0,25.0,79.9,299.0,3.0,1.0,3,0,52,0
20,89.0,54.0,43.0,23.0,99.9,301.0,3.0,14.0,2,410,47,1
21,334.0,54.0,47.0,69.0,89.9,302.0,3.0,6.0,2,410,69,1
22,68.0,96.0,78.0,4.0,59.9,309.0,3.0,12.0,3,410,70,0
23,32.0,96.0,71.0,4.0,59.9,309.0,3.0,12.0,40,410,70,0
24,79.0,50.0,71.0,25.0,79.9,311.0,3.0,7.0,3,1,58,0
25,29.0,71.0,19.0,20.0,49.95,312.0,3.0,0.0,2,193,54,1
26,237.0,54.0,17.0,39.0,119.9,313.0,3.0,0.0,26,410,51,1
27,451.0,50.0,19.0,46.0,119.9,319.0,3.0,9.0,-1,0,65,0
28,51.0,50.0,78.0,17.0,129.9,319.0,3.0,9.0,23,0,65,1
29,31.0,102.0,17.0,2.0,21.9,320.0,3.0,1.0,8,35,59,0
30,502.0,54.0,21.0,0.0,109.9,324.0,3.0,0.0,3,169,60,1
31,237.0,59.0,46.0,39.0,119.9,326.0,3.0,5.0,2,208,55,0
32,442.0,61.0,47.0,0.0,139.9,332.0,2.0,5.0,31,203,71,0
33,238.0,50.0,70.0,39.0,99.9,336.0,3.0,7.0,26,310,51,1
34,64.0,54.0,58.0,16.0,79.9,345.0,3.0,9.0,-1,35,57,0
35,184.0,100.0,17.0,2.0,21.9,348.0,3.0,9.0,12,410,67,1
36,86.0,102.0,17.0,4.0,79.9,348.0,3.0,9.0,40,410,67,1
37,375.0,98.0,47.0,45.0,29.9,351.0,3.0,2.0,1,18,61,0
38,63.0,46.0,21.0,17.0,119.9,355.0,3.0,7.0,50,410,48,1
39,26.0,71.0,19.0,18.0,79.9,360.0,3.0,9.0,9,0,61,1
40,304.0,46.0,19.0,39.0,129.9,360.0,3.0,9.0,26,0,61,0
41,168.0,97.0,21.0,19.0,49.9,364.0,3.0,0.0,38,412,48,1
42,39.0,99.0,67.0,26.0,4.95,368.0,3.0,14.0,4,171,45,0
43,176.0,46.0,17.0,16.0,109.9,369.0,3.0,2.0,3,61,53,1
44,121.0,50.0,17.0,0.0,79.9,372.0,2.0,9.0,4,28,76,1
45,97.0,96.0,66.0,27.0,89.9,373.0,3.0,4.0,3,410,65,0
46,484.0,96.0,63.0,73.0,49.9,373.0,3.0,4.0,3,410,65,1
47,68.0,97.0,46.0,4.0,54.9,375.0,3.0,0.0,13,386,62,1
48,254.0,54.0,39.0,5.0,79.9,377.0,3.0,9.0,16,159,57,0
49,572.0,97.0,17.0,47.0,199.95,379.0,3.0,9.0,4,0,76,0
50,238.0,44.0,17.0,39.0,99.9,382.0,3.0,2.0,-1,0,63,0
51,89.0,54.0,19.0,23.0,99.9,388.0,3.0,1.0,3,410,49,1
52,56.0,97.0,8.0,2.0,34.9,395.0,3.0,0.0,4,410,68,1
53,58.0,99.0,8.0,31.0,19.9,395.0,3.0,0.0,25,410,68,0
54,39.0,99.0,17.0,26.0,4.95,403.0,3.0,7.0,4,410,61,0
55,22.0,54.0,73.0,15.0,159.9,405.0,3.0,0.0,3,410,64,1
56,221.0,86.0,49.0,20.0,49.9,413.0,3.0,1.0,4,192,45,0
57,109.0,54.0,63.0,0.0,89.9,416.0,3.0,9.0,21,44,54,0
58,196.0,96.0,60.0,4.0,59.9,419.0,3.0,5.0,-1,144,64,0
59,4.0,102.0,46.0,4.0,69.9,421.0,3.0,7.0,1,412,49,0
60,19.0,59.0,22.0,14.0,54.95,423.0,3.0,7.0,4,300,55,0
61,8.0,80.0,19.0,3.0,119.95,423.0,3.0,7.0,8,300,55,1
62,92.0,100.0,21.0,19.0,49.9,425.0,3.0,6.0,33,0,52,1
63,11.0,97.0,47.0,10.0,39.9,54.0,3.0,9.0,1,70,50,1
64,479.0,99.0,21.0,83.0,49.9,427.0,3.0,7.0,4,0,55,1
65,81.0,102.0,46.0,4.0,69.9,429.0,3.0,9.0,3,18,51,1
66,627.0,100.0,19.0,28.0,99.9,439.0,3.0,7.0,-1,412,54,0
67,54.0,54.0,19.0,0.0,89.9,445.0,3.0,7.0,30,34,39,1
68,58.0,99.0,47.0,31.0,19.9,449.0,3.0,7.0,38,412,59,1
69,188.0,96.0,19.0,45.0,19.9,451.0,3.0,1.0,2,141,120,1
70,35.0,46.0,73.0,0.0,89.9,451.0,3.0,1.0,34,141,120,1
71,431.0,57.0,17.0,0.0,89.9,453.0,3.0,1.0,1,412,74,0
72,388.0,50.0,47.0,0.0,89.9,454.0,3.0,7.0,21,315,52,1
73,229.0,96.0,78.0,19.0,89.9,454.0,3.0,7.0,52,315,52,1
74,326.0,97.0,49.0,36.0,49.9,127.0,3.0,5.0,1,4,60,1
75,141.0,100.0,17.0,4.0,89.9,460.0,3.0,9.0,-1,1,-1,0
76,90.0,102.0,19.0,2.0,49.9,464.0,3.0,9.0,4,410,57,1
77,86.0,102.0,78.0,4.0,79.9,464.0,3.0,9.0,4,410,57,1
78,76.0,46.0,7.0,0.0,129.9,466.0,3.0,9.0,4,0,-1,1
79,57.0,97.0,8.0,30.0,89.9,466.0,3.0,9.0,4,0,-1,1
80,250.0,54.0,47.0,16.0,129.9,472.0,3.0,14.0,4,0,52,0
81,175.0,57.0,46.0,16.0,119.9,474.0,3.0,13.0,4,177,69,1
82,194.0,79.0,5.0,56.0,94.9,474.0,3.0,13.0,9,177,69,1
83,642.0,46.0,17.0,8.0,79.9,479.0,3.0,1.0,5,410,49,1
84,45.0,96.0,71.0,28.0,69.9,481.0,3.0,10.0,1,193,58,0
85,191.0,57.0,17.0,3.0,69.95,481.0,3.0,10.0,1,193,58,0
86,69.0,63.0,19.0,33.0,39.9,485.0,3.0,13.0,3,411,69,0
87,375.0,100.0,19.0,45.0,29.9,490.0,3.0,9.0,1,354,64,1
88,187.0,96.0,46.0,4.0,69.9,493.0,3.0,3.0,3,0,53,1
89,45.0,96.0,19.0,28.0,69.9,495.0,3.0,0.0,3,411,59,1
90,32.0,102.0,9.0,4.0,59.9,496.0,3.0,0.0,3,327,56,0
91,70.0,2.0,63.0,20.0,69.95,500.0,3.0,1.0,3,289,42,0
92,4.0,102.0,46.0,4.0,69.9,506.0,3.0,9.0,3,306,-1,1
93,209.0,97.0,47.0,28.0,59.9,510.0,3.0,7.0,3,411,61,1
94,209.0,97.0,19.0,28.0,59.9,510.0,3.0,7.0,22,411,61,1
95,37.0,97.0,39.0,24.0,49.9,515.0,3.0,12.0,3,411,61,0
96,32.0,97.0,78.0,4.0,59.9,517.0,3.0,7.0,3,0,65,0
97,31.0,100.0,66.0,2.0,21.9,522.0,3.0,7.0,4,0,56,0
98,95.0,102.0,19.0,2.0,16.9,522.0,3.0,7.0,4,0,56,0
99,499.0,46.0,69.0,0.0,129.9,533.0,3.0,0.0,4,0,50,1
100,312.0,96.0,19.0,36.0,39.9,535.0,3.0,9.0,4,221,38,1
101,181.0,96.0,17.0,13.0,49.9,537.0,3.0,10.0,7,346,62,1
102,21.0,100.0,17.0,13.0,39.9,537.0,3.0,10.0,30,346,62,1
103,102.0,57.0,46.0,16.0,139.9,113.0,3.0,0.0,3,256,73,1
104,652.0,54.0,17.0,0.0,129.9,538.0,3.0,1.0,3,166,53,1
105,67.0,96.0,78.0,2.0,19.9,541.0,3.0,0.0,4,0,48,0
106,144.0,96.0,8.0,2.0,24.9,541.0,3.0,0.0,4,0,48,0
107,589.0,80.0,46.0,79.0,120.0,543.0,3.0,6.0,3,0,68,1
108,188.0,102.0,47.0,45.0,19.9,546.0,3.0,9.0,1,413,67,0
109,40.0,59.0,63.0,0.0,99.9,546.0,3.0,9.0,-1,413,67,0
110,125.0,87.0,17.0,20.0,79.95,550.0,3.0,1.0,4,411,67,1
111,658.0,1.0,19.0,79.0,220.0,556.0,2.0,12.0,2,413,56,1
112,71.0,59.0,17.0,0.0,119.9,561.0,3.0,14.0,11,0,61,1
113,56.0,96.0,68.0,2.0,34.9,562.0,3.0,1.0,4,0,77,1
114,219.0,78.0,63.0,56.0,99.9,566.0,3.0,2.0,32,369,57,0
115,214.0,86.0,56.0,18.0,79.9,567.0,3.0,9.0,3,411,53,1
116,94.0,20.0,39.0,24.0,59.9,569.0,3.0,9.0,4,341,58,1
117,170.0,98.0,71.0,2.0,16.9,570.0,3.0,4.0,1,413,120,0
118,61.0,99.0,78.0,4.0,0.0,570.0,3.0,4.0,1,413,120,1
119,377.0,8.0,17.0,47.0,79.95,571.0,3.0,1.0,4,411,53,1
120,4.0,97.0,46.0,4.0,69.9,577.0,3.0,3.0,2,413,60,1
121,56.0,97.0,60.0,2.0,34.9,577.0,3.0,3.0,2,413,60,0
122,31.0,97.0,71.0,2.0,21.9,577.0,3.0,3.0,37,413,60,1
123,163.0,59.0,19.0,5.0,69.9,581.0,3.0,9.0,-1,0,50,0
124,563.0,96.0,8.0,4.0,79.9,581.0,3.0,9.0,-1,0,50,0
125,253.0,102.0,19.0,4.0,69.9,582.0,3.0,6.0,4,411,64,1
126,162.0,59.0,17.0,46.0,89.9,585.0,3.0,0.0,4,0,56,1
127,269.0,98.0,8.0,2.0,34.9,593.0,3.0,9.0,3,19,-1,0
128,23.0,54.0,17.0,16.0,119.9,599.0,3.0,1.0,4,0,52,0
129,214.0,72.0,19.0,18.0,79.9,604.0,3.0,6.0,24,411,62,1
130,14.0,54.0,17.0,0.0,129.9,606.0,3.0,7.0,11,411,-1,0
131,29.0,18.0,19.0,20.0,49.95,611.0,3.0,14.0,14,21,49,1
132,145.0,46.0,47.0,0.0,99.9,613.0,3.0,7.0,4,0,65,0
133,83.0,100.0,16.0,4.0,59.9,342.0,3.0,5.0,3,6,55,1
134,313.0,100.0,70.0,55.0,39.9,342.0,3.0,5.0,3,6,55,0
135,120.0,46.0,17.0,42.0,99.9,616.0,3.0,1.0,3,180,47,1
136,138.0,63.0,17.0,5.0,69.9,616.0,3.0,1.0,3,180,47,0
137,253.0,102.0,78.0,4.0,69.9,617.0,3.0,9.0,4,0,43,1
138,238.0,54.0,19.0,39.0,99.9,619.0,3.0,9.0,17,0,51,1
139,505.0,41.0,21.0,10.0,39.9,620.0,3.0,0.0,4,115,50,1
140,356.0,97.0,46.0,4.0,59.9,623.0,3.0,9.0,8,204,57,0
141,491.0,98.0,16.0,2.0,59.9,624.0,3.0,9.0,4,411,54,1
142,162.0,50.0,17.0,46.0,89.9,626.0,3.0,7.0,4,0,-1,1
143,0.0,58.0,19.0,0.0,119.9,627.0,3.0,1.0,4,0,-1,0
144,205.0,98.0,17.0,2.0,69.9,628.0,3.0,9.0,10,0,67,0
145,349.0,8.0,47.0,20.0,69.95,630.0,2.0,6.0,3,17,53,0
146,113.0,44.0,47.0,42.0,129.9,631.0,3.0,0.0,4,23,57,0
147,56.0,96.0,68.0,2.0,34.9,633.0,1.0,9.0,3,148,47,1
148,177.0,96.0,71.0,4.0,79.9,633.0,1.0,9.0,3,148,47,1
149,471.0,63.0,49.0,8.0,99.9,633.0,1.0,9.0,3,148,47,1
150,350.0,50.0,71.0,6.0,8.9,633.0,1.0,9.0,3,148,47,0
151,5.0,59.0,46.0,5.0,79.9,633.0,1.0,9.0,-1,148,47,0
152,514.0,66.0,21.0,10.0,29.9,640.0,3.0,9.0,2,412,58,1
153,184.0,102.0,46.0,2.0,21.9,642.0,3.0,2.0,2,412,54,0
154,170.0,97.0,47.0,2.0,14.9,644.0,3.0,0.0,3,0,-1,0
155,75.0,98.0,12.0,36.0,29.9,647.0,3.0,6.0,37,412,57,1
156,187.0,97.0,46.0,4.0,69.9,649.0,3.0,9.0,1,40,66,0
157,83.0,96.0,46.0,4.0,59.9,655.0,3.0,1.0,38,412,61,1
158,107.0,96.0,19.0,45.0,39.9,656.0,3.0,14.0,1,374,61,1
159,56.0,96.0,60.0,2.0,34.9,656.0,3.0,14.0,1,374,61,0
160,676.0,40.0,62.0,14.0,39.95,657.0,3.0,1.0,13,13,50,0
161,678.0,54.0,17.0,43.0,99.0,658.0,3.0,9.0,-1,413,58,0
162,95.0,97.0,17.0,2.0,16.9,661.0,3.0,3.0,2,412,64,0
163,201.0,97.0,47.0,36.0,34.9,662.0,3.0,9.0,2,412,56,0
164,55.0,59.0,39.0,24.0,59.9,662.0,3.0,9.0,2,412,56,1
165,213.0,96.0,17.0,2.0,49.9,663.0,2.0,9.0,2,412,63,0
166,97.0,97.0,63.0,27.0,89.9,666.0,3.0,9.0,2,413,57,1
167,213.0,97.0,15.0,2.0,49.9,668.0,3.0,9.0,2,412,72,0
168,205.0,96.0,17.0,2.0,69.9,669.0,3.0,9.0,3,0,39,0
169,18.0,96.0,17.0,13.0,69.9,672.0,3.0,5.0,-1,9,47,0
170,295.0,97.0,19.0,65.0,69.95,672.0,3.0,5.0,-1,9,47,0
171,205.0,96.0,17.0,2.0,69.9,673.0,3.0,0.0,1,413,54,0
172,378.0,57.0,68.0,17.0,129.9,678.0,3.0,8.0,24,72,58,1
173,70.0,87.0,63.0,20.0,69.95,679.0,3.0,0.0,3,92,49,1
174,175.0,54.0,17.0,16.0,119.9,679.0,3.0,0.0,3,92,49,1
175,302.0,22.0,19.0,68.0,65.95,681.0,3.0,1.0,3,412,47,1
176,175.0,50.0,78.0,16.0,119.9,684.0,3.0,12.0,2,412,54,0
177,56.0,102.0,68.0,2.0,39.9,686.0,3.0,10.0,3,0,57,1
178,28.0,96.0,17.0,19.0,69.9,687.0,3.0,1.0,2,412,60,1
179,3.0,82.0,47.0,3.0,129.9,687.0,3.0,1.0,6,412,60,1
180,412.0,57.0,21.0,52.0,59.9,691.0,3.0,6.0,3,0,42,1
181,542.0,46.0,47.0,0.0,69.9,692.0,3.0,8.0,-1,54,60,0
182,41.0,98.0,70.0,27.0,99.9,693.0,2.0,9.0,3,151,60,1
183,272.0,96.0,47.0,19.0,29.9,697.0,3.0,10.0,3,0,57,1
184,230.0,99.0,21.0,59.0,0.0,699.0,3.0,10.0,33,130,55,0
185,69.0,54.0,19.0,33.0,39.9,700.0,3.0,1.0,2,163,54,0
186,78.0,54.0,47.0,0.0,139.9,703.0,3.0,9.0,2,60,52,1
187,576.0,53.0,47.0,3.0,139.9,286.0,3.0,10.0,5,413,71,1
188,159.0,54.0,17.0,16.0,89.9,711.0,3.0,9.0,29,0,57,1
189,361.0,44.0,19.0,68.0,79.95,713.0,3.0,0.0,-1,45,47,0
190,296.0,59.0,71.0,37.0,99.9,715.0,3.0,0.0,3,0,59,0
