,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,168.0,97.0,21.0,19.0,49.9,209.0,3.0,9.0,32,379,58,0
1,144.0,97.0,65.0,2.0,24.9,209.0,3.0,9.0,32,379,58,0
2,86.0,100.0,63.0,4.0,79.9,226.0,3.0,9.0,24,317,65,0
3,268.0,57.0,41.0,49.0,79.95,244.0,3.0,5.0,-1,14,-1,0
4,24.0,100.0,21.0,4.0,79.9,256.0,3.0,3.0,1,411,49,0
5,171.0,60.0,17.0,0.0,129.9,283.0,3.0,9.0,12,410,55,0
6,109.0,59.0,47.0,0.0,89.9,283.0,3.0,9.0,12,410,55,0
7,356.0,100.0,39.0,4.0,59.9,284.0,3.0,1.0,-1,0,63,0
8,4.0,96.0,78.0,4.0,69.9,288.0,3.0,0.0,8,207,60,0
9,128.0,54.0,65.0,49.0,69.95,288.0,3.0,0.0,18,207,60,0
10,579.0,50.0,71.0,14.0,56.95,292.0,3.0,7.0,40,410,56,0
11,79.0,46.0,47.0,25.0,79.9,299.0,3.0,1.0,3,0,52,0
12,68.0,96.0,78.0,4.0,59.9,309.0,3.0,12.0,3,410,70,0
13,32.0,96.0,71.0,4.0,59.9,309.0,3.0,12.0,40,410,70,0
14,79.0,50.0,71.0,25.0,79.9,311.0,3.0,7.0,3,1,58,0
15,451.0,50.0,19.0,46.0,119.9,319.0,3.0,9.0,-1,0,65,0
16,31.0,102.0,17.0,2.0,21.9,320.0,3.0,1.0,8,35,59,0
17,237.0,59.0,46.0,39.0,119.9,326.0,3.0,5.0,2,208,55,0
18,442.0,61.0,47.0,0.0,139.9,332.0,2.0,5.0,31,203,71,0
19,64.0,54.0,58.0,16.0,79.9,345.0,3.0,9.0,-1,35,57,0
20,375.0,98.0,47.0,45.0,29.9,351.0,3.0,2.0,1,18,61,0
21,304.0,46.0,19.0,39.0,129.9,360.0,3.0,9.0,26,0,61,0
22,39.0,99.0,67.0,26.0,4.95,368.0,3.0,14.0,4,171,45,0
23,97.0,96.0,66.0,27.0,89.9,373.0,3.0,4.0,3,410,65,0
24,254.0,54.0,39.0,5.0,79.9,377.0,3.0,9.0,16,159,57,0
25,572.0,97.0,17.0,47.0,199.95,379.0,3.0,9.0,4,0,76,0
26,238.0,44.0,17.0,39.0,99.9,382.0,3.0,2.0,-1,0,63,0
27,58.0,99.0,8.0,31.0,19.9,395.0,3.0,0.0,25,410,68,0
28,39.0,99.0,17.0,26.0,4.95,403.0,3.0,7.0,4,410,61,0
29,221.0,86.0,49.0,20.0,49.9,413.0,3.0,1.0,4,192,45,0
30,109.0,54.0,63.0,0.0,89.9,416.0,3.0,9.0,21,44,54,0
