,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,245.0,63.0,68.0,39.0,99.9,10087.0,3.0,2.0,-1,0,61,0
1,245.0,59.0,68.0,39.0,99.9,10087.0,3.0,2.0,-1,0,61,0
2,2381.0,118.0,76.0,4.0,69.9,51425.0,3.0,7.0,0,4,65,0
3,2350.0,110.0,78.0,2.0,59.9,51417.0,3.0,13.0,4,0,69,0
4,217.0,69.0,77.0,37.0,99.9,10082.0,3.0,2.0,-1,0,49,0
5,2381.0,118.0,85.0,4.0,69.9,51425.0,3.0,7.0,0,4,65,0
6,2290.0,114.0,78.0,2.0,24.9,640.0,3.0,1.0,6,738,60,0
7,2290.0,107.0,54.0,2.0,21.9,640.0,3.0,1.0,-1,746,60,0
8,2290.0,107.0,82.0,2.0,21.9,640.0,3.0,1.0,1,723,60,0
9,2360.0,110.0,53.0,13.0,49.9,57680.0,3.0,1.0,2,0,63,0
10,2340.0,109.0,82.0,27.0,99.9,51421.0,3.0,0.0,6,0,53,0
11,2346.0,110.0,29.0,19.0,59.9,57704.0,3.0,5.0,10,0,57,0
12,2290.0,107.0,85.0,2.0,21.9,640.0,3.0,1.0,-1,723,60,0
13,2346.0,110.0,77.0,19.0,59.9,57704.0,3.0,5.0,-1,0,57,0
14,2356.0,112.0,50.0,2.0,49.9,51434.0,3.0,13.0,4,0,76,0
15,2346.0,107.0,49.0,19.0,59.9,57671.0,3.0,1.0,2,0,48,0
16,2290.0,107.0,50.0,2.0,21.9,640.0,3.0,1.0,3,725,60,0
17,2290.0,107.0,49.0,2.0,21.9,640.0,3.0,1.0,-1,723,60,0
18,2281.0,108.0,49.0,2.0,39.9,640.0,3.0,1.0,3,725,60,0
19,2415.0,110.0,48.0,4.0,79.9,51430.0,3.0,6.0,4,0,52,0
20,2329.0,107.0,80.0,28.0,59.9,57704.0,3.0,5.0,10,0,57,0
21,2375.0,110.0,70.0,10.0,79.9,51441.0,3.0,3.0,-1,39,54,0
22,2346.0,107.0,29.0,19.0,59.9,57672.0,3.0,9.0,2,0,49,0
23,2326.0,108.0,49.0,28.0,89.9,57742.0,3.0,3.0,4,0,57,0
24,2381.0,112.0,49.0,4.0,69.9,51408.0,3.0,0.0,35,18,56,0
25,164.0,63.0,68.0,46.0,89.9,10087.0,3.0,2.0,-1,0,61,0
26,164.0,59.0,68.0,46.0,89.9,10087.0,3.0,2.0,1,2,61,0
27,2360.0,110.0,85.0,13.0,49.9,57680.0,3.0,1.0,2,0,63,0
28,164.0,59.0,65.0,46.0,89.9,10091.0,3.0,1.0,2,0,58,0
29,2290.0,112.0,77.0,2.0,21.9,591.0,3.0,1.0,15,761,59,0
30,2346.0,110.0,68.0,19.0,59.9,51381.0,3.0,9.0,5,6,51,0
31,2326.0,108.0,49.0,28.0,89.9,57753.0,3.0,12.0,10,0,48,0
32,2349.0,114.0,50.0,45.0,49.9,57672.0,3.0,9.0,2,0,49,0
33,2360.0,120.0,53.0,13.0,49.9,57727.0,3.0,0.0,25,0,71,0
34,244.0,69.0,50.0,39.0,119.9,10066.0,3.0,0.0,25,0,57,0
35,2362.0,112.0,49.0,4.0,59.9,57727.0,3.0,0.0,3,0,71,0
36,2397.0,107.0,42.0,4.0,59.9,57676.0,3.0,1.0,22,0,68,0
37,2340.0,108.0,49.0,27.0,99.9,57742.0,3.0,3.0,-1,0,57,0
38,2352.0,110.0,42.0,2.0,34.9,51425.0,3.0,7.0,-1,0,65,0
39,2329.0,108.0,80.0,28.0,59.9,51436.0,3.0,9.0,33,0,59,0
40,2352.0,112.0,42.0,2.0,34.9,51425.0,3.0,7.0,-1,0,65,0
41,1572.0,118.0,50.0,28.0,59.9,577.0,3.0,9.0,-1,297,59,0
42,2416.0,107.0,42.0,28.0,99.9,51427.0,3.0,2.0,17,9,60,0
43,2327.0,107.0,50.0,2.0,44.9,5625.0,3.0,1.0,-1,657,54,0
44,2340.0,108.0,44.0,27.0,99.9,57676.0,3.0,1.0,-1,5,68,0
45,2346.0,114.0,77.0,19.0,59.9,51458.0,3.0,0.0,-1,22,39,0
46,2310.0,95.0,22.0,18.0,79.9,57727.0,3.0,0.0,3,0,71,0
47,2280.0,112.0,78.0,2.0,29.9,5618.0,3.0,0.0,1,708,58,0
48,2391.0,109.0,50.0,10.0,99.9,57693.0,3.0,10.0,28,0,46,0
49,2317.0,107.0,49.0,4.0,89.9,5625.0,3.0,1.0,-1,678,54,0
50,2280.0,112.0,50.0,2.0,29.9,5618.0,3.0,0.0,1,708,58,0
51,2374.0,110.0,17.0,10.0,89.9,57704.0,3.0,5.0,-1,0,57,0
52,2374.0,112.0,17.0,10.0,89.9,57704.0,3.0,5.0,-1,0,57,0
53,2346.0,114.0,49.0,19.0,59.9,51458.0,3.0,0.0,-1,22,39,0
54,2355.0,110.0,17.0,45.0,39.9,57701.0,3.0,2.0,22,0,72,0
55,107.0,120.0,50.0,45.0,19.9,4384.0,3.0,1.0,5,511,62,0
56,2393.0,109.0,17.0,19.0,59.9,51423.0,3.0,3.0,-1,0,71,0
57,2289.0,108.0,50.0,2.0,24.9,574.0,3.0,0.0,2,698,57,0
58,2317.0,107.0,42.0,4.0,89.9,5625.0,3.0,1.0,-1,658,54,0
59,2340.0,108.0,82.0,27.0,99.9,57676.0,3.0,1.0,-1,5,68,0
60,2379.0,117.0,56.0,31.0,29.9,51427.0,3.0,2.0,3,14,60,0
61,2338.0,107.0,49.0,13.0,89.9,5496.0,3.0,1.0,3,738,63,0
62,2381.0,112.0,19.0,4.0,69.9,57673.0,3.0,2.0,-1,0,72,0
63,2376.0,81.0,22.0,5.0,79.9,57680.0,3.0,1.0,2,0,63,0
64,2317.0,107.0,78.0,4.0,89.9,5625.0,3.0,1.0,-1,658,54,0
65,2289.0,107.0,50.0,2.0,24.9,574.0,3.0,0.0,-1,697,57,0
66,2317.0,107.0,42.0,4.0,89.9,5625.0,3.0,1.0,13,678,54,0
67,95.0,114.0,18.0,2.0,16.9,6317.0,3.0,1.0,3,425,21,0
68,2280.0,109.0,16.0,2.0,29.9,639.0,3.0,9.0,2,710,60,0
69,2370.0,109.0,70.0,45.0,29.9,51421.0,3.0,0.0,6,0,53,0
70,180.0,55.0,49.0,16.0,119.9,10092.0,3.0,1.0,2,0,67,0
71,2341.0,109.0,49.0,4.0,59.9,51421.0,3.0,0.0,53,0,53,0
72,2364.0,109.0,49.0,36.0,34.9,57731.0,3.0,7.0,24,0,55,0
73,2280.0,110.0,17.0,2.0,29.9,583.0,3.0,4.0,1,712,50,0
74,396.0,63.0,17.0,16.0,129.9,5748.0,3.0,1.0,20,0,48,0
75,240.0,114.0,85.0,19.0,79.9,25219.0,3.0,2.0,-1,511,63,0
76,240.0,118.0,85.0,19.0,79.9,25219.0,3.0,2.0,-1,511,63,0
77,2279.0,112.0,85.0,2.0,26.9,648.0,3.0,9.0,3,699,69,0
78,2338.0,112.0,16.0,13.0,89.9,51403.0,3.0,9.0,4,0,56,0
79,2340.0,107.0,82.0,27.0,99.9,57742.0,3.0,3.0,-1,0,57,0
80,2393.0,110.0,78.0,19.0,59.9,57680.0,3.0,1.0,53,0,63,0
81,244.0,59.0,19.0,39.0,119.9,10087.0,3.0,2.0,1,2,61,0
82,244.0,63.0,19.0,39.0,119.9,10087.0,3.0,2.0,-1,0,61,0
83,244.0,59.0,19.0,39.0,119.9,10087.0,3.0,2.0,-1,0,61,0
84,2381.0,107.0,49.0,4.0,69.9,57647.0,3.0,1.0,50,3,60,0
85,2279.0,112.0,17.0,2.0,26.9,567.0,3.0,0.0,5,688,64,0
86,192.0,115.0,12.0,4.0,69.9,1298.0,1.0,9.0,3,148,47,0
87,127.0,120.0,42.0,48.0,49.9,4380.0,3.0,1.0,1,475,63,0
88,193.0,120.0,50.0,45.0,13.9,25228.0,3.0,7.0,5,511,52,0
89,193.0,118.0,50.0,45.0,13.9,25228.0,3.0,7.0,-1,511,52,0
90,2352.0,118.0,42.0,2.0,34.9,51425.0,3.0,7.0,38,4,65,0
91,117.0,114.0,16.0,5.0,44.9,8148.0,3.0,7.0,1,505,59,0
92,95.0,114.0,18.0,2.0,19.9,6288.0,3.0,9.0,2,425,50,0
93,2355.0,107.0,16.0,45.0,39.9,57672.0,3.0,9.0,2,0,49,0
94,2436.0,112.0,68.0,35.0,99.9,51400.0,3.0,7.0,-1,0,47,0
95,2395.0,112.0,19.0,2.0,49.9,51434.0,3.0,13.0,4,0,76,0
96,95.0,114.0,17.0,2.0,16.9,6288.0,3.0,9.0,-1,436,50,0
97,95.0,118.0,49.0,2.0,16.9,16207.0,3.0,0.0,2,89,55,0
98,2328.0,55.0,50.0,0.0,89.9,57742.0,3.0,3.0,17,6,57,0
99,2397.0,107.0,85.0,4.0,59.9,57711.0,3.0,10.0,46,0,61,0
100,2289.0,112.0,50.0,2.0,24.9,567.0,3.0,0.0,3,751,64,0
101,303.0,114.0,17.0,27.0,79.9,2667.0,3.0,9.0,3,416,63,0
102,2348.0,110.0,49.0,45.0,29.9,51427.0,3.0,2.0,3,14,60,0
103,2329.0,110.0,80.0,28.0,59.9,51459.0,3.0,15.0,33,0,52,0
104,95.0,120.0,49.0,2.0,16.9,16207.0,3.0,0.0,2,89,55,0
105,2326.0,107.0,49.0,28.0,89.9,5479.0,3.0,0.0,28,729,57,0
106,217.0,72.0,77.0,37.0,69.9,10082.0,3.0,2.0,52,0,49,0
107,2410.0,108.0,54.0,8.0,69.9,57681.0,3.0,7.0,-1,0,58,0
108,2340.0,107.0,44.0,27.0,99.9,57654.0,3.0,5.0,-1,0,54,0
109,212.0,115.0,50.0,48.0,44.9,1072.0,3.0,4.0,-1,499,56,0
110,27.0,118.0,50.0,19.0,39.9,3229.0,3.0,9.0,6,0,45,0
111,2375.0,110.0,70.0,10.0,79.9,51358.0,3.0,15.0,-1,0,60,0
112,171.0,63.0,68.0,39.0,119.9,10054.0,3.0,7.0,-1,0,50,0
113,75.0,114.0,19.0,36.0,29.9,6288.0,3.0,9.0,3,451,50,0
114,171.0,59.0,68.0,39.0,119.9,10054.0,3.0,7.0,-1,0,50,0
115,86.0,114.0,22.0,4.0,39.9,8140.0,3.0,9.0,3,474,49,0
116,2381.0,112.0,82.0,4.0,69.9,58194.0,3.0,9.0,36,0,54,0
117,2317.0,107.0,17.0,4.0,89.9,57672.0,3.0,9.0,22,0,49,0
118,2381.0,107.0,49.0,4.0,69.9,8613.0,3.0,9.0,1,700,61,0
119,2432.0,78.0,17.0,8.0,89.9,51441.0,3.0,3.0,-1,39,54,0
120,2397.0,110.0,78.0,4.0,59.9,57731.0,3.0,7.0,46,0,55,0
121,191.0,67.0,19.0,52.0,79.9,10075.0,3.0,9.0,2,0,50,0
122,2415.0,108.0,17.0,4.0,79.9,51365.0,3.0,6.0,7,0,49,0
123,1547.0,59.0,49.0,37.0,189.9,31793.0,3.0,9.0,-1,49,-1,0
124,366.0,114.0,49.0,4.0,69.9,13121.0,3.0,1.0,5,477,52,0
125,2317.0,107.0,78.0,4.0,89.9,5625.0,3.0,1.0,35,678,54,0
126,67.0,114.0,17.0,2.0,19.9,6288.0,3.0,9.0,4,436,50,0
127,2318.0,107.0,49.0,4.0,119.9,5625.0,3.0,1.0,-1,657,54,0
128,2382.0,110.0,78.0,2.0,59.9,57647.0,3.0,1.0,44,3,60,0
129,240.0,114.0,85.0,19.0,79.9,25198.0,3.0,1.0,5,499,43,0
130,2329.0,110.0,49.0,28.0,59.9,57713.0,3.0,1.0,77,0,49,0
131,2381.0,118.0,49.0,4.0,69.9,8613.0,3.0,9.0,1,700,61,0
132,2381.0,112.0,68.0,4.0,69.9,58194.0,3.0,9.0,14,0,54,0
133,204.0,59.0,80.0,44.0,89.9,10141.0,2.0,15.0,3,0,39,0
134,2395.0,108.0,49.0,2.0,49.9,51470.0,3.0,12.0,1,6,58,0
135,2319.0,110.0,49.0,48.0,99.9,57769.0,3.0,6.0,49,9,45,0
136,2290.0,112.0,50.0,2.0,21.9,51862.0,3.0,0.0,31,734,68,0
137,31.0,118.0,72.0,2.0,21.9,10802.0,3.0,7.0,1,442,68,0
138,2330.0,117.0,80.0,31.0,39.9,51452.0,3.0,1.0,31,0,52,0
139,1482.0,69.0,78.0,5.0,69.9,29285.0,3.0,9.0,-1,285,50,0
