,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,1497.0,110.0,76.0,36.0,26.9,42843.0,3.0,9.0,83.0,23.0,48.0,0
1,1971.0,114.0,17.0,36.0,26.9,4970.0,3.0,9.0,83.0,137.0,48.0,0
2,2413.0,67.0,49.0,37.0,99.9,10396.0,3.0,7.0,83.0,263.0,49.0,0
3,83.0,115.0,78.0,4.0,59.9,2877.0,3.0,4.0,116.0,416.0,50.0,0
4,1898.0,69.0,17.0,42.0,129.9,10577.0,3.0,9.0,160.0,0.0,50.0,0
5,1466.0,118.0,3.0,41.0,129.9,20980.0,3.0,9.0,160.0,127.0,65.0,0
6,2566.0,110.0,70.0,30.0,99.9,13159.0,3.0,12.0,127.0,241.0,97.0,0
7,71.0,59.0,76.0,0.0,119.9,16043.0,3.0,6.0,160.0,0.0,97.0,0
8,367.0,115.0,68.0,30.0,49.9,14873.0,3.0,9.0,83.0,363.0,63.0,0
9,170.0,115.0,42.0,2.0,39.9,779.0,3.0,2.0,83.0,35.0,97.0,0
10,252.0,114.0,22.0,4.0,49.9,5625.0,3.0,1.0,83.0,336.0,51.0,0
11,46.0,108.0,19.0,10.0,49.9,29251.0,3.0,1.0,72.0,671.0,64.0,0
12,1583.0,120.0,78.0,74.0,179.9,39920.0,3.0,10.0,105.0,0.0,97.0,0
13,1378.0,114.0,77.0,2.0,24.9,2174.0,3.0,10.0,72.0,374.0,61.0,0
14,886.0,118.0,50.0,32.0,12.9,27937.0,3.0,9.0,160.0,198.0,47.0,0
15,332.0,45.0,68.0,50.0,59.9,3510.0,3.0,0.0,1.0,222.0,55.0,0
16,2006.0,114.0,17.0,19.0,99.9,14392.0,3.0,0.0,78.0,529.0,45.0,0
17,1772.0,110.0,72.0,19.0,179.0,987.0,3.0,9.0,83.0,347.0,64.0,0
18,419.0,114.0,19.0,32.0,12.9,9902.0,3.0,7.0,1.0,58.0,97.0,0
19,1769.0,115.0,17.0,2.0,39.9,28503.0,2.0,9.0,105.0,0.0,66.0,0
20,2566.0,108.0,70.0,30.0,99.9,47416.0,3.0,8.0,94.0,0.0,48.0,0
21,170.0,114.0,8.0,2.0,19.9,22187.0,3.0,9.0,1.0,152.0,56.0,0
22,2376.0,78.0,68.0,5.0,79.9,18221.0,3.0,1.0,116.0,246.0,65.0,0
23,2026.0,69.0,22.0,6.0,19.9,28740.0,3.0,1.0,160.0,279.0,97.0,0
24,124.0,115.0,22.0,1.0,24.9,13584.0,3.0,7.0,83.0,13.0,55.0,0
25,2364.0,112.0,7.0,36.0,34.9,11487.0,3.0,1.0,46.0,260.0,52.0,0
