,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,2329.0,107.0,80.0,28.0,59.9,58403.0,3.0,10.0,94.0,0.0,97.0,0
1,2290.0,110.0,54.0,2.0,21.9,53371.0,3.0,5.0,94.0,0.0,49.0,0
2,2346.0,108.0,64.0,19.0,59.9,56053.0,3.0,0.0,98.0,0.0,54.0,0
3,293.0,120.0,19.0,35.0,59.9,17085.0,3.0,1.0,80.0,22.0,59.0,0
4,2382.0,109.0,78.0,2.0,59.9,55369.0,3.0,1.0,137.0,10.0,97.0,0
5,1384.0,115.0,49.0,2.0,21.9,37674.0,3.0,9.0,84.0,0.0,61.0,0
6,137.0,118.0,35.0,45.0,39.9,3201.0,3.0,5.0,94.0,435.0,37.0,0
7,127.0,114.0,8.0,48.0,39.9,15148.0,3.0,10.0,72.0,462.0,62.0,0
8,101.0,63.0,83.0,43.0,45.0,24641.0,3.0,9.0,13.0,506.0,43.0,0
9,2329.0,109.0,80.0,28.0,59.9,56043.0,3.0,9.0,77.0,0.0,57.0,0
10,2382.0,107.0,78.0,2.0,59.9,55355.0,3.0,9.0,111.0,0.0,41.0,0
11,2290.0,107.0,85.0,2.0,24.9,53371.0,3.0,5.0,82.0,12.0,49.0,0
12,137.0,118.0,19.0,45.0,39.9,3201.0,3.0,5.0,94.0,435.0,37.0,0
13,138.0,118.0,78.0,2.0,49.9,1102.0,3.0,7.0,83.0,411.0,58.0,0
14,2414.0,107.0,85.0,13.0,79.9,55356.0,3.0,1.0,94.0,0.0,61.0,0
15,2279.0,107.0,78.0,2.0,29.9,59495.0,3.0,2.0,86.0,0.0,58.0,0
16,1374.0,114.0,77.0,2.0,16.9,15078.0,3.0,1.0,94.0,611.0,53.0,0
17,137.0,118.0,50.0,45.0,39.9,3201.0,3.0,5.0,94.0,435.0,37.0,0
18,1374.0,114.0,75.0,2.0,16.9,15078.0,3.0,1.0,94.0,611.0,53.0,0
19,2341.0,108.0,49.0,4.0,59.9,59638.0,3.0,7.0,114.0,0.0,53.0,0
20,21.0,118.0,19.0,13.0,39.9,3258.0,3.0,0.0,87.0,417.0,49.0,0
21,2350.0,109.0,78.0,2.0,59.9,56019.0,3.0,7.0,118.0,0.0,54.0,0
22,2399.0,110.0,85.0,4.0,74.9,57519.0,3.0,1.0,83.0,0.0,51.0,0
23,56.0,114.0,65.0,2.0,39.9,6413.0,3.0,9.0,72.0,0.0,61.0,0
