,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,31.0,120.0,85.0,2.0,21.9,22124.0,3.0,0.0,-1,497,48,0
1,1796.0,32.0,20.0,50.0,99.9,30803.0,3.0,0.0,-1,577,44,0
2,269.0,115.0,78.0,4.0,59.9,8131.0,3.0,1.0,1,446,58,0
3,127.0,114.0,8.0,48.0,39.9,15148.0,3.0,10.0,2,462,65,0
4,27.0,114.0,75.0,19.0,39.9,15177.0,3.0,6.0,-1,464,67,0
5,467.0,115.0,50.0,13.0,39.9,18304.0,2.0,7.0,3,11,-1,0
6,27.0,114.0,75.0,19.0,39.9,15177.0,3.0,6.0,0,474,67,0
7,138.0,114.0,19.0,2.0,49.9,7872.0,3.0,9.0,2,433,59,0
8,4.0,115.0,22.0,4.0,49.9,7061.0,3.0,14.0,1,488,51,0
9,43.0,117.0,73.0,0.0,7.45,22124.0,3.0,0.0,0,503,48,0
10,269.0,120.0,49.0,4.0,59.9,5861.0,3.0,3.0,14,471,55,0
11,31.0,120.0,50.0,2.0,21.9,22124.0,3.0,0.0,0,503,48,0
12,245.0,55.0,49.0,39.0,79.9,25363.0,3.0,7.0,-1,0,55,0
13,138.0,114.0,17.0,2.0,49.9,7872.0,3.0,9.0,2,433,59,0
14,56.0,118.0,17.0,2.0,39.9,12812.0,3.0,0.0,2,20,-1,0
15,4.0,115.0,19.0,4.0,39.9,7061.0,3.0,14.0,4,479,51,0
16,2408.0,110.0,68.0,4.0,79.9,37835.0,3.0,6.0,30,157,71,0
17,21.0,114.0,49.0,13.0,39.9,969.0,3.0,6.0,3,433,56,0
18,4.0,115.0,19.0,4.0,39.9,7061.0,3.0,14.0,6,479,51,0
19,31.0,120.0,77.0,2.0,21.9,1004.0,2.0,9.0,4,411,63,0
20,2294.0,112.0,49.0,2.0,16.9,56012.0,3.0,9.0,3,0,51,0
21,220.0,114.0,17.0,2.0,39.9,407.0,3.0,7.0,1,111,51,0
22,67.0,118.0,17.0,2.0,19.9,3229.0,3.0,9.0,6,0,45,0
23,138.0,114.0,17.0,2.0,29.9,13405.0,3.0,7.0,4,478,51,0
24,21.0,115.0,77.0,13.0,19.9,22150.0,3.0,1.0,1,497,61,0
25,21.0,115.0,78.0,13.0,19.9,22150.0,3.0,1.0,1,497,61,0
26,138.0,114.0,19.0,2.0,29.9,13405.0,3.0,7.0,4,478,51,0
27,31.0,120.0,72.0,2.0,21.9,1004.0,2.0,9.0,4,411,63,0
28,2450.0,112.0,17.0,4.0,64.9,54661.0,3.0,8.0,3,0,60,0
29,54.0,55.0,61.0,0.0,89.9,7196.0,3.0,1.0,4,7,48,0
30,21.0,114.0,50.0,13.0,19.9,22125.0,3.0,1.0,1,497,60,0
31,137.0,118.0,19.0,45.0,19.9,15133.0,3.0,9.0,3,468,64,0
32,2358.0,108.0,77.0,4.0,79.9,38100.0,3.0,6.0,-1,110,52,0
33,32.0,114.0,49.0,4.0,69.9,7745.0,2.0,9.0,20,30,69,0
34,56.0,115.0,77.0,2.0,19.9,22101.0,3.0,9.0,1,497,54,0
35,4.0,115.0,36.0,4.0,39.9,7061.0,3.0,14.0,6,479,51,0
36,2427.0,112.0,54.0,1.0,49.9,54663.0,3.0,2.0,3,0,53,0
37,1700.0,74.0,50.0,71.0,139.9,41962.0,3.0,1.0,3,0,52,0
38,2327.0,110.0,70.0,2.0,44.9,55045.0,3.0,9.0,-1,0,58,0
39,211.0,115.0,75.0,2.0,69.9,9497.0,3.0,7.0,4,63,50,0
40,2327.0,112.0,70.0,2.0,44.9,55045.0,3.0,9.0,-1,0,58,0
41,153.0,120.0,50.0,32.0,12.4,13582.0,3.0,0.0,3,500,58,0
42,139.0,55.0,17.0,5.0,69.9,14798.0,3.0,9.0,3,0,62,0
43,210.0,115.0,70.0,4.0,69.9,9489.0,3.0,12.0,4,0,43,0
44,269.0,120.0,50.0,4.0,39.9,5861.0,3.0,3.0,3,471,55,0
45,269.0,120.0,70.0,4.0,39.9,5861.0,3.0,3.0,3,471,55,0
46,31.0,118.0,77.0,2.0,24.9,19957.0,3.0,6.0,2,486,64,0
47,2362.0,107.0,7.0,4.0,59.9,59287.0,3.0,9.0,-1,0,60,0
48,27.0,114.0,75.0,19.0,39.9,19953.0,3.0,9.0,-1,486,52,0
49,2475.0,53.0,22.0,49.0,69.95,57316.0,3.0,9.0,4,0,69,0
50,2327.0,112.0,76.0,2.0,44.9,55045.0,3.0,9.0,-1,0,58,0
51,2279.0,107.0,70.0,2.0,26.9,58916.0,3.0,9.0,3,0,48,0
52,2290.0,110.0,77.0,2.0,21.9,58913.0,3.0,0.0,3,0,56,0
53,2289.0,107.0,49.0,2.0,24.9,51107.0,3.0,3.0,-1,0,53,0
54,2294.0,110.0,75.0,2.0,16.9,58905.0,3.0,7.0,-1,0,54,0
55,2294.0,112.0,76.0,2.0,16.9,58905.0,3.0,7.0,-1,0,54,0
56,2294.0,110.0,76.0,2.0,16.9,58905.0,3.0,7.0,-1,0,54,0
57,46.0,115.0,19.0,10.0,39.9,12748.0,3.0,1.0,-1,502,56,0
58,46.0,114.0,19.0,10.0,39.9,12748.0,3.0,1.0,-1,502,56,0
59,232.0,118.0,75.0,35.0,59.9,8144.0,3.0,9.0,4,470,51,0
60,2442.0,107.0,80.0,19.0,59.9,59171.0,3.0,9.0,25,0,66,0
61,81.0,118.0,36.0,4.0,69.9,7944.0,3.0,1.0,-1,7,60,0
62,83.0,114.0,50.0,4.0,59.9,18071.0,3.0,2.0,-1,9,57,0
63,2294.0,110.0,77.0,2.0,16.9,58905.0,3.0,7.0,-1,0,54,0
64,217.0,63.0,49.0,37.0,79.9,25369.0,3.0,1.0,7,0,49,0
65,83.0,115.0,8.0,4.0,59.9,1955.0,3.0,10.0,1,421,60,0
66,56.0,120.0,17.0,2.0,34.9,740.0,3.0,0.0,1,47,67,0
67,59.0,115.0,22.0,19.0,49.9,762.0,3.0,10.0,-1,50,39,0
68,59.0,116.0,22.0,19.0,49.9,762.0,3.0,10.0,-1,50,39,0
69,2408.0,107.0,48.0,4.0,79.9,54659.0,3.0,10.0,60,0,57,0
70,2287.0,110.0,17.0,4.0,59.9,57402.0,3.0,9.0,3,0,58,0
71,145.0,118.0,78.0,2.0,24.9,2985.0,3.0,8.0,-1,10,43,0
72,2381.0,110.0,68.0,4.0,69.9,37835.0,3.0,6.0,2,151,71,0
73,117.0,118.0,16.0,5.0,49.9,16440.0,3.0,7.0,1,468,54,0
74,1371.0,120.0,86.0,2.0,26.9,30194.0,3.0,1.0,4,0,58,0
75,2363.0,107.0,49.0,30.0,79.9,59299.0,3.0,0.0,12,0,58,0
76,210.0,115.0,61.0,4.0,69.9,9501.0,3.0,9.0,4,59,50,0
77,31.0,114.0,22.0,2.0,21.9,1955.0,3.0,10.0,4,414,60,0
78,137.0,118.0,19.0,45.0,19.9,15129.0,3.0,6.0,4,464,78,0
79,56.0,116.0,19.0,2.0,34.9,11149.0,3.0,9.0,3,14,57,0
80,2279.0,114.0,50.0,2.0,29.9,47519.0,3.0,9.0,1,8,56,0
81,2459.0,91.0,44.0,18.0,79.9,52839.0,3.0,7.0,36,0,53,0
82,56.0,116.0,17.0,2.0,34.9,11149.0,3.0,9.0,3,14,57,0
83,2381.0,110.0,49.0,4.0,69.9,56370.0,3.0,6.0,-1,0,48,0
84,50.0,115.0,17.0,4.0,69.9,3197.0,3.0,6.0,3,0,52,0
85,2290.0,112.0,75.0,2.0,21.9,58913.0,3.0,0.0,21,0,56,0
86,137.0,115.0,19.0,45.0,19.9,15124.0,3.0,14.0,2,461,66,0
87,137.0,114.0,19.0,45.0,19.9,13577.0,3.0,7.0,3,485,64,0
88,2363.0,108.0,49.0,30.0,79.9,12281.0,3.0,10.0,44,249,61,0
89,31.0,114.0,19.0,2.0,21.9,3131.0,3.0,9.0,5,0,48,0
90,21.0,120.0,19.0,13.0,39.9,7053.0,3.0,9.0,-1,492,56,0
91,1747.0,53.0,19.0,53.0,199.9,37921.0,3.0,10.0,-1,0,73,0
92,50.0,115.0,16.0,4.0,69.9,3197.0,3.0,6.0,-1,0,52,0
93,145.0,114.0,17.0,2.0,21.9,18173.0,3.0,7.0,0,252,48,0
94,137.0,115.0,19.0,45.0,19.9,13596.0,3.0,8.0,1,475,57,0
95,2360.0,108.0,17.0,13.0,49.9,46139.0,3.0,14.0,7,5,53,0
96,67.0,120.0,77.0,2.0,19.9,22128.0,3.0,13.0,12,506,63,0
97,1747.0,53.0,17.0,53.0,199.9,37921.0,3.0,10.0,-1,0,73,0
98,21.0,120.0,85.0,13.0,39.9,1006.0,3.0,7.0,7,411,53,0
99,81.0,118.0,78.0,4.0,69.9,7944.0,3.0,1.0,-1,7,60,0
100,145.0,118.0,8.0,2.0,24.9,13421.0,3.0,9.0,-1,480,59,0
101,27.0,118.0,66.0,19.0,39.9,11928.0,3.0,11.0,1,448,63,0
102,137.0,114.0,50.0,45.0,19.9,13577.0,3.0,7.0,3,485,64,0
103,1589.0,115.0,49.0,10.0,79.9,31356.0,3.0,9.0,3,0,65,0
104,50.0,115.0,36.0,4.0,69.9,3197.0,3.0,6.0,-1,17,52,0
105,2362.0,108.0,9.0,4.0,69.9,46139.0,3.0,14.0,15,5,53,0
106,2281.0,108.0,77.0,2.0,39.9,47981.0,3.0,6.0,2,710,55,0
107,31.0,114.0,19.0,2.0,21.9,3131.0,3.0,9.0,-1,0,48,0
108,2370.0,118.0,70.0,45.0,29.9,55991.0,3.0,10.0,1,10,46,0
109,2329.0,110.0,49.0,28.0,59.9,59309.0,3.0,7.0,-1,0,63,0
110,46.0,118.0,19.0,10.0,79.9,3223.0,3.0,7.0,5,0,53,0
111,2395.0,107.0,50.0,2.0,49.9,59151.0,3.0,9.0,40,0,53,0
112,2287.0,107.0,49.0,4.0,59.9,15216.0,3.0,7.0,30,770,59,0
113,137.0,118.0,19.0,45.0,19.9,13576.0,3.0,0.0,4,478,62,0
114,145.0,118.0,78.0,2.0,21.9,2985.0,3.0,8.0,-1,0,43,0
115,31.0,114.0,18.0,2.0,21.9,10751.0,3.0,7.0,2,441,67,0
116,56.0,118.0,65.0,2.0,34.9,964.0,3.0,4.0,1,412,69,0
117,170.0,118.0,42.0,2.0,39.9,3014.0,3.0,6.0,7,0,54,0
118,50.0,114.0,72.0,4.0,69.9,19527.0,3.0,0.0,2,483,50,0
119,2359.0,107.0,53.0,13.0,69.9,38118.0,3.0,6.0,3,95,62,0
120,2464.0,107.0,17.0,2.0,34.9,48768.0,3.0,1.0,2,0,-1,0
121,1534.0,109.0,17.0,10.0,69.9,24496.0,3.0,8.0,2,127,56,0
122,2365.0,112.0,17.0,36.0,29.9,58394.0,3.0,0.0,3,1,64,0
123,2402.0,63.0,50.0,3.0,69.95,283.0,3.0,7.0,7,694,65,0
124,27.0,118.0,50.0,19.0,39.9,3229.0,3.0,9.0,6,0,45,0
125,86.0,118.0,17.0,4.0,79.9,7944.0,3.0,1.0,8,0,60,0
126,56.0,118.0,17.0,2.0,34.9,964.0,3.0,4.0,1,412,69,0
127,56.0,118.0,17.0,2.0,34.9,964.0,3.0,4.0,1,412,69,0
128,2276.0,107.0,78.0,36.0,29.9,47981.0,3.0,6.0,42,700,55,0
129,117.0,118.0,16.0,5.0,49.9,18071.0,3.0,2.0,2,0,57,0
130,106.0,67.0,17.0,11.0,89.9,5863.0,3.0,9.0,-1,0,72,0
131,2279.0,107.0,85.0,2.0,26.9,58916.0,3.0,9.0,3,0,48,0
132,86.0,115.0,19.0,4.0,79.9,4182.0,3.0,7.0,-1,221,50,0
133,86.0,115.0,19.0,4.0,79.9,4182.0,3.0,7.0,-1,221,50,0
134,1533.0,63.0,78.0,22.0,149.9,30201.0,3.0,12.0,-1,30,68,0
135,31.0,114.0,8.0,2.0,21.9,3131.0,3.0,9.0,-1,0,48,0
136,86.0,116.0,19.0,4.0,79.9,4182.0,3.0,7.0,-1,221,50,0
137,86.0,116.0,19.0,4.0,79.9,4182.0,3.0,7.0,-1,221,50,0
138,2434.0,108.0,78.0,41.0,89.9,52846.0,3.0,0.0,36,0,58,0
139,31.0,120.0,49.0,2.0,24.9,4522.0,3.0,2.0,3,0,51,0
140,81.0,118.0,36.0,4.0,69.9,3144.0,3.0,1.0,5,0,62,0
141,73.0,53.0,72.0,23.0,69.9,7315.0,3.0,9.0,-1,392,52,0
142,86.0,116.0,19.0,4.0,79.9,4182.0,3.0,7.0,7,226,50,0
143,31.0,114.0,8.0,2.0,21.9,10751.0,3.0,7.0,2,441,67,0
144,2408.0,110.0,85.0,4.0,79.9,264.0,3.0,2.0,12,686,72,0
145,85.0,115.0,17.0,4.0,79.9,7947.0,3.0,6.0,12,0,59,0
146,2294.0,115.0,54.0,2.0,19.9,47530.0,3.0,7.0,4,4,66,0
147,83.0,118.0,49.0,4.0,59.9,5925.0,3.0,9.0,66,424,53,0
148,83.0,118.0,49.0,4.0,59.9,5925.0,3.0,9.0,66,424,53,0
149,145.0,120.0,70.0,2.0,24.9,7867.0,3.0,7.0,4,431,54,0
150,1547.0,67.0,22.0,37.0,189.9,44212.0,3.0,7.0,-1,0,39,0
151,231.0,114.0,17.0,24.0,39.9,8155.0,3.0,3.0,1,463,44,0
152,86.0,114.0,22.0,4.0,39.9,12748.0,3.0,1.0,-1,492,56,0
153,115.0,114.0,22.0,4.0,69.9,18083.0,3.0,0.0,15,0,51,0
154,31.0,118.0,8.0,2.0,21.9,3131.0,3.0,9.0,-1,0,48,0
155,198.0,90.0,50.0,11.0,54.9,23613.0,3.0,12.0,3,348,56,0
156,81.0,118.0,16.0,4.0,69.9,7944.0,3.0,1.0,-1,7,60,0
157,253.0,115.0,78.0,36.0,34.9,8143.0,3.0,9.0,3,432,67,0
