,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,293.0,115.0,19.0,35.0,59.9,17016.0,3.0,9.0,83.0,471.0,59.0,0
1,924.0,13.0,19.0,47.0,49.9,23341.0,3.0,12.0,94.0,210.0,36.0,0
2,592.0,49.0,66.0,68.0,39.9,46051.0,3.0,15.0,72.0,0.0,38.0,0
3,522.0,117.0,22.0,83.0,29.9,13073.0,2.0,15.0,24.0,59.0,45.0,0
4,1231.0,53.0,17.0,91.0,89.9,26189.0,3.0,9.0,72.0,0.0,51.0,0
5,1181.0,115.0,50.0,35.0,59.9,10096.0,3.0,10.0,1.0,439.0,70.0,0
6,2297.0,55.0,78.0,16.0,109.9,6856.0,3.0,9.0,84.0,768.0,55.0,0
7,2549.0,59.0,7.0,6.0,8.9,48121.0,3.0,11.0,1.0,701.0,53.0,0
8,67.0,120.0,85.0,2.0,19.9,1091.0,3.0,6.0,160.0,461.0,63.0,0
9,2629.0,67.0,17.0,25.0,89.9,14378.0,3.0,9.0,1.0,76.0,55.0,0
10,1513.0,90.0,50.0,18.0,59.9,30575.0,3.0,9.0,57.0,356.0,56.0,0
11,146.0,72.0,19.0,0.0,79.9,22068.0,3.0,9.0,1.0,523.0,52.0,0
12,1497.0,114.0,17.0,36.0,26.9,40600.0,3.0,7.0,132.0,0.0,51.0,0
13,2429.0,55.0,75.0,144.0,59.9,16726.0,3.0,10.0,85.0,719.0,51.0,0
14,2441.0,112.0,17.0,2.0,39.9,52186.0,4.0,0.0,94.0,0.0,50.0,0
15,188.0,114.0,75.0,2.0,19.9,5739.0,3.0,7.0,149.0,365.0,49.0,0
16,1591.0,60.0,19.0,0.0,134.9,26208.0,3.0,1.0,72.0,363.0,53.0,0
17,1895.0,74.0,3.0,93.0,139.9,38944.0,3.0,12.0,83.0,0.0,97.0,0
18,2408.0,108.0,68.0,4.0,79.9,18899.0,3.0,9.0,88.0,195.0,63.0,0
19,1470.0,117.0,49.0,101.0,49.9,30280.0,3.0,9.0,83.0,0.0,43.0,0
20,1713.0,63.0,50.0,109.0,14.9,29530.0,4.0,9.0,72.0,0.0,66.0,0
21,2313.0,55.0,49.0,118.0,120.0,34400.0,3.0,9.0,85.0,184.0,63.0,0
22,1967.0,114.0,17.0,47.0,99.95,35895.0,3.0,3.0,160.0,21.0,69.0,0
23,1513.0,91.0,77.0,18.0,59.9,40773.0,3.0,10.0,67.0,0.0,58.0,0
24,211.0,120.0,8.0,2.0,39.9,12700.0,3.0,9.0,116.0,510.0,49.0,0
25,538.0,116.0,16.0,2.0,59.9,6251.0,3.0,15.0,72.0,181.0,53.0,0
26,154.0,120.0,9.0,4.0,49.9,12840.0,3.0,3.0,94.0,111.0,57.0,0
27,2563.0,112.0,19.0,65.0,69.9,19956.0,3.0,9.0,1.0,215.0,57.0,0
28,1602.0,118.0,17.0,36.0,69.9,20074.0,3.0,10.0,1.0,347.0,50.0,0
29,1497.0,120.0,17.0,36.0,26.9,16510.0,3.0,1.0,78.0,583.0,57.0,0
30,2967.0,108.0,77.0,36.0,29.9,58211.0,3.0,0.0,160.0,0.0,46.0,0
31,1505.0,59.0,19.0,46.0,119.9,2297.0,3.0,4.0,72.0,369.0,59.0,0
32,83.0,114.0,49.0,4.0,69.9,16192.0,3.0,8.0,160.0,0.0,97.0,0
33,1760.0,81.0,50.0,38.0,79.9,35519.0,3.0,9.0,160.0,12.0,61.0,0
34,2347.0,118.0,78.0,96.0,39.9,14410.0,3.0,7.0,0.0,438.0,50.0,0
35,2433.0,109.0,17.0,8.0,89.9,53123.0,3.0,7.0,160.0,650.0,64.0,0
36,2977.0,67.0,49.0,21.0,39.98,17100.0,3.0,9.0,87.0,180.0,48.0,0
37,1868.0,69.0,2.0,14.0,59.95,33543.0,3.0,1.0,83.0,632.0,50.0,0
38,2463.0,108.0,68.0,30.0,99.9,37789.0,3.0,1.0,64.0,172.0,53.0,0
39,2279.0,110.0,49.0,2.0,26.9,19997.0,3.0,1.0,124.0,730.0,51.0,0
40,1386.0,107.0,17.0,29.0,23.9,43962.0,2.0,9.0,83.0,0.0,97.0,0
41,2668.0,63.0,50.0,0.0,129.9,31522.0,3.0,9.0,72.0,605.0,49.0,0
42,1512.0,114.0,36.0,36.0,39.9,5841.0,3.0,9.0,83.0,167.0,64.0,0
43,574.0,117.0,17.0,34.0,39.95,37306.0,3.0,2.0,105.0,0.0,30.0,0
44,2074.0,117.0,72.0,130.0,35.0,27336.0,3.0,11.0,160.0,174.0,55.0,0
45,2294.0,107.0,85.0,2.0,16.9,2313.0,3.0,11.0,72.0,290.0,97.0,0
46,226.0,92.0,50.0,56.0,49.9,6151.0,3.0,0.0,94.0,415.0,66.0,0
47,45.0,115.0,9.0,28.0,69.9,5593.0,3.0,7.0,2.0,328.0,56.0,0
48,99.0,53.0,17.0,42.0,69.9,30990.0,3.0,9.0,94.0,0.0,59.0,0
49,2423.0,107.0,49.0,45.0,34.9,1211.0,3.0,9.0,72.0,760.0,58.0,0
50,1664.0,69.0,17.0,44.0,154.0,20396.0,3.0,0.0,83.0,95.0,44.0,0
51,2279.0,116.0,49.0,2.0,26.9,13126.0,3.0,3.0,77.0,547.0,59.0,0
52,2462.0,110.0,78.0,4.0,59.9,13091.0,3.0,8.0,72.0,721.0,54.0,0
53,1325.0,69.0,19.0,69.0,99.9,23180.0,3.0,9.0,94.0,0.0,97.0,0
54,917.0,59.0,17.0,0.0,249.9,25145.0,3.0,1.0,2.0,0.0,27.0,0
55,1358.0,48.0,66.0,68.0,47.9,31722.0,3.0,7.0,94.0,561.0,49.0,0
56,1676.0,67.0,50.0,17.0,160.0,23390.0,3.0,5.0,1.0,182.0,42.0,0
57,257.0,59.0,19.0,0.0,119.9,8606.0,3.0,0.0,99.0,0.0,51.0,0
58,261.0,118.0,85.0,4.0,69.9,4434.0,3.0,1.0,83.0,486.0,55.0,0
59,2205.0,108.0,19.0,112.0,29.9,720.0,3.0,9.0,72.0,740.0,67.0,0
60,2509.0,95.0,22.0,141.0,119.9,32732.0,3.0,9.0,83.0,746.0,68.0,0
61,562.0,120.0,50.0,73.0,19.9,16311.0,3.0,7.0,1.0,296.0,49.0,0
62,1838.0,117.0,50.0,70.0,69.9,40090.0,3.0,1.0,100.0,0.0,45.0,0
63,2395.0,112.0,19.0,2.0,49.9,27498.0,3.0,7.0,35.0,599.0,45.0,0
64,1435.0,120.0,75.0,2.0,39.9,26960.0,3.0,2.0,97.0,621.0,53.0,0
65,245.0,59.0,17.0,39.0,49.9,5273.0,3.0,0.0,160.0,312.0,67.0,0
66,70.0,1.0,35.0,20.0,34.95,25862.0,3.0,9.0,72.0,517.0,57.0,0
67,1500.0,107.0,49.0,2.0,24.9,48368.0,3.0,12.0,94.0,0.0,97.0,0
68,32.0,118.0,50.0,4.0,59.9,16614.0,3.0,9.0,160.0,407.0,45.0,0
69,186.0,118.0,17.0,13.0,49.9,20961.0,3.0,10.0,160.0,0.0,51.0,0
70,2465.0,109.0,49.0,2.0,59.9,48438.0,3.0,8.0,10.0,0.0,97.0,0
71,233.0,114.0,42.0,13.0,79.9,9193.0,3.0,9.0,1.0,215.0,62.0,0
72,232.0,114.0,75.0,35.0,59.9,21003.0,3.0,0.0,1.0,271.0,56.0,0
73,187.0,67.0,17.0,54.0,74.9,23630.0,3.0,3.0,84.0,500.0,72.0,0
74,188.0,114.0,49.0,2.0,29.9,14027.0,3.0,2.0,83.0,457.0,48.0,0
75,1712.0,56.0,22.0,0.0,144.9,17064.0,3.0,9.0,160.0,560.0,97.0,0
76,2194.0,120.0,3.0,32.0,59.9,42033.0,3.0,9.0,83.0,294.0,65.0,0
77,1670.0,116.0,17.0,35.0,89.9,49156.0,3.0,7.0,160.0,5.0,42.0,0
78,2322.0,55.0,50.0,0.0,119.9,55318.0,3.0,7.0,160.0,0.0,60.0,0
79,434.0,34.0,78.0,50.0,34.9,25284.0,3.0,12.0,74.0,0.0,47.0,0
80,2302.0,117.0,50.0,122.0,5.95,47778.0,2.0,9.0,160.0,0.0,70.0,0
81,1637.0,59.0,22.0,37.0,119.9,41451.0,3.0,1.0,149.0,463.0,54.0,0
82,56.0,120.0,65.0,2.0,34.9,6156.0,3.0,5.0,83.0,425.0,39.0,0
83,886.0,115.0,78.0,32.0,19.9,12049.0,3.0,9.0,72.0,448.0,52.0,0
84,56.0,112.0,78.0,2.0,24.9,17288.0,3.0,9.0,83.0,661.0,53.0,0
85,2346.0,108.0,18.0,19.0,59.9,53706.0,3.0,1.0,71.0,0.0,44.0,0
86,1934.0,68.0,17.0,0.0,159.9,34449.0,2.0,12.0,1.0,579.0,59.0,0
87,2352.0,108.0,42.0,2.0,34.9,47256.0,2.0,0.0,160.0,30.0,97.0,0
88,93.0,120.0,68.0,30.0,59.9,17552.0,3.0,6.0,1.0,95.0,51.0,0
89,225.0,59.0,49.0,39.0,89.9,12744.0,3.0,6.0,24.0,165.0,53.0,0
90,1497.0,112.0,19.0,36.0,26.9,32595.0,3.0,9.0,1.0,635.0,55.0,0
91,1451.0,81.0,3.0,89.0,59.9,36687.0,3.0,1.0,111.0,183.0,97.0,0
92,1825.0,68.0,3.0,0.0,149.9,11056.0,3.0,1.0,160.0,182.0,61.0,0
93,1967.0,115.0,17.0,47.0,99.95,36280.0,2.0,2.0,83.0,0.0,32.0,0
94,1572.0,118.0,80.0,28.0,59.9,25911.0,3.0,7.0,1.0,539.0,53.0,0
95,1462.0,67.0,19.0,0.0,129.9,36802.0,3.0,1.0,160.0,238.0,44.0,0
96,2271.0,112.0,17.0,2.0,24.9,25926.0,3.0,0.0,1.0,721.0,52.0,0
97,443.0,55.0,50.0,71.0,59.9,5781.0,3.0,6.0,83.0,153.0,48.0,0
98,1517.0,120.0,78.0,48.0,199.9,29768.0,3.0,5.0,1.0,547.0,51.0,0
99,1572.0,115.0,80.0,28.0,59.9,35354.0,3.0,9.0,103.0,206.0,61.0,0
100,2282.0,108.0,42.0,112.0,49.9,36941.0,3.0,7.0,83.0,347.0,97.0,0
101,2303.0,110.0,19.0,28.0,59.9,58847.0,3.0,9.0,2.0,0.0,46.0,0
102,1626.0,109.0,19.0,35.0,119.9,32714.0,3.0,14.0,83.0,324.0,57.0,0
103,1665.0,69.0,65.0,29.0,189.95,24974.0,3.0,7.0,83.0,460.0,62.0,0
104,140.0,118.0,42.0,24.0,69.9,3865.0,3.0,10.0,94.0,0.0,51.0,0
105,21.0,118.0,50.0,13.0,19.9,9569.0,3.0,1.0,74.0,497.0,46.0,0
106,2289.0,110.0,50.0,2.0,24.9,1852.0,3.0,0.0,72.0,0.0,55.0,0
107,547.0,17.0,58.0,29.0,19.95,18413.0,3.0,0.0,73.0,0.0,97.0,0
108,2350.0,110.0,44.0,2.0,59.9,35522.0,3.0,9.0,98.0,476.0,50.0,0
109,1563.0,118.0,75.0,30.0,69.9,29064.0,3.0,6.0,94.0,188.0,63.0,0
110,2328.0,67.0,50.0,0.0,89.9,34414.0,3.0,4.0,1.0,186.0,47.0,0
111,1683.0,78.0,19.0,5.0,69.9,17530.0,3.0,0.0,83.0,281.0,14.0,0
112,1683.0,55.0,19.0,5.0,69.9,4167.0,3.0,7.0,105.0,247.0,55.0,0
113,1501.0,67.0,19.0,16.0,129.9,893.0,3.0,7.0,94.0,308.0,50.0,0
114,1582.0,49.0,49.0,5.0,69.9,43658.0,3.0,9.0,76.0,572.0,59.0,0
115,1435.0,112.0,49.0,2.0,39.9,16055.0,3.0,2.0,94.0,293.0,64.0,0
116,2603.0,67.0,19.0,37.0,124.9,54291.0,3.0,0.0,83.0,16.0,39.0,0
117,2522.0,117.0,76.0,4.0,14.9,47280.0,2.0,7.0,108.0,35.0,75.0,0
118,601.0,117.0,77.0,29.0,19.95,16595.0,3.0,7.0,57.0,228.0,61.0,0
119,1810.0,63.0,22.0,37.0,149.9,31329.0,3.0,6.0,94.0,19.0,46.0,0
120,2370.0,110.0,70.0,45.0,24.9,45756.0,3.0,9.0,94.0,520.0,56.0,0
121,1384.0,120.0,86.0,2.0,21.9,28882.0,3.0,7.0,82.0,603.0,68.0,0
122,2279.0,107.0,75.0,2.0,26.9,5149.0,3.0,1.0,100.0,760.0,56.0,0
123,1295.0,108.0,75.0,1.0,29.9,52530.0,3.0,9.0,72.0,0.0,50.0,0
