,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,1546.0,69.0,17.0,37.0,90.0,24852.0,3.0,0.0,3,0,44,0
1,1668.0,78.0,75.0,73.0,29.9,31323.0,3.0,9.0,2,485,58,0
2,16.0,85.0,19.0,10.0,34.9,8095.0,3.0,9.0,-1,163,58,0
3,2394.0,107.0,78.0,48.0,89.9,14111.0,3.0,1.0,30,342,36,0
4,1617.0,53.0,19.0,46.0,39.9,31550.0,3.0,3.0,46,656,120,0
5,1621.0,120.0,78.0,36.0,49.9,13117.0,3.0,0.0,2,168,57,0
6,158.0,63.0,66.0,53.0,49.9,364.0,3.0,14.0,3,290,49,0
7,141.0,120.0,78.0,48.0,59.9,15366.0,3.0,9.0,3,23,46,0
8,1371.0,118.0,70.0,2.0,26.9,19819.0,3.0,7.0,2,566,76,0
9,2341.0,110.0,77.0,4.0,59.9,20545.0,3.0,0.0,3,710,46,0
10,1853.0,63.0,17.0,0.0,199.9,9190.0,3.0,1.0,4,233,51,0
11,68.0,114.0,52.0,4.0,39.9,4332.0,3.0,9.0,3,90,65,0
12,238.0,117.0,68.0,28.0,9.9,4754.0,3.0,5.0,4,337,53,0
13,31.0,114.0,8.0,2.0,21.9,10751.0,3.0,7.0,2,441,67,0
14,1374.0,120.0,85.0,2.0,16.9,5912.0,3.0,0.0,1,493,53,0
15,1384.0,114.0,85.0,2.0,21.9,35202.0,3.0,10.0,2,352,58,0
16,2624.0,55.0,17.0,0.0,139.9,43105.0,3.0,6.0,3,0,64,0
17,155.0,25.0,19.0,33.0,59.9,1785.0,3.0,4.0,1,0,52,0
18,1608.0,55.0,17.0,118.0,159.0,41875.0,3.0,2.0,-1,0,66,0
19,1450.0,114.0,83.0,41.0,149.9,40487.0,3.0,9.0,49,614,71,0
20,89.0,69.0,17.0,23.0,99.9,12981.0,3.0,1.0,1,455,57,0
21,2614.0,55.0,50.0,17.0,130.0,39039.0,3.0,14.0,8,159,56,0
22,269.0,114.0,65.0,4.0,29.9,14993.0,3.0,13.0,2,381,53,0
23,1466.0,107.0,3.0,41.0,129.9,42125.0,3.0,9.0,16,0,55,0
24,27.0,116.0,75.0,19.0,39.9,1884.0,3.0,1.0,9,414,42,0
25,70.0,2.0,17.0,20.0,49.95,18893.0,3.0,7.0,4,479,58,0
26,134.0,118.0,19.0,32.0,12.4,15044.0,3.0,7.0,1,42,57,0
27,1747.0,55.0,19.0,53.0,199.9,42381.0,3.0,1.0,-1,0,-1,0
28,2434.0,110.0,78.0,41.0,89.9,59097.0,3.0,7.0,41,0,-1,0
29,220.0,120.0,17.0,2.0,49.9,9361.0,2.0,9.0,8,0,36,0
30,596.0,67.0,50.0,0.0,159.9,7107.0,3.0,0.0,-1,229,67,0
31,2774.0,6.0,17.0,47.0,129.95,17752.0,3.0,3.0,31,369,69,0
32,2377.0,117.0,17.0,70.0,19.9,53990.0,3.0,10.0,3,0,67,0
33,651.0,116.0,12.0,4.0,59.9,3957.0,3.0,0.0,30,0,58,0
34,2553.0,108.0,44.0,19.0,119.9,40393.0,3.0,0.0,46,697,51,0
35,2820.0,112.0,17.0,2.0,24.9,38806.0,3.0,0.0,22,144,28,0
36,2364.0,112.0,17.0,36.0,34.9,15387.0,3.0,14.0,69,308,65,0
37,885.0,115.0,85.0,32.0,14.9,11795.0,3.0,9.0,12,89,53,0
38,1617.0,63.0,77.0,46.0,39.9,41944.0,3.0,7.0,44,1,45,0
