,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,168.0,97.0,21.0,19.0,49.9,209.0,3.0,9.0,32,379,58,0
1,144.0,97.0,65.0,2.0,24.9,209.0,3.0,9.0,32,379,58,0
2,86.0,100.0,63.0,4.0,79.9,226.0,3.0,9.0,24,317,65,0
3,18.0,97.0,21.0,13.0,69.9,229.0,2.0,1.0,1,50,44,1
4,268.0,57.0,41.0,49.0,79.95,244.0,3.0,5.0,-1,14,-1,0
5,24.0,100.0,21.0,4.0,79.9,256.0,3.0,3.0,1,411,49,0
6,70.0,1.0,47.0,20.0,69.95,258.0,3.0,6.0,3,19,48,1
7,171.0,60.0,17.0,0.0,129.9,283.0,3.0,9.0,12,410,55,0
8,109.0,59.0,47.0,0.0,89.9,283.0,3.0,9.0,12,410,55,0
9,356.0,100.0,39.0,4.0,59.9,284.0,3.0,1.0,-1,0,63,0
10,4.0,96.0,78.0,4.0,69.9,288.0,3.0,0.0,8,207,60,0
11,128.0,54.0,65.0,49.0,69.95,288.0,3.0,0.0,18,207,60,0
12,579.0,50.0,71.0,14.0,56.95,292.0,3.0,7.0,40,410,56,0
13,79.0,46.0,47.0,25.0,79.9,299.0,3.0,1.0,3,0,52,0
14,68.0,96.0,78.0,4.0,59.9,309.0,3.0,12.0,3,410,70,0
15,32.0,96.0,71.0,4.0,59.9,309.0,3.0,12.0,40,410,70,0
16,79.0,50.0,71.0,25.0,79.9,311.0,3.0,7.0,3,1,58,0
17,451.0,50.0,19.0,46.0,119.9,319.0,3.0,9.0,-1,0,65,0
18,51.0,50.0,78.0,17.0,129.9,319.0,3.0,9.0,23,0,65,1
19,31.0,102.0,17.0,2.0,21.9,320.0,3.0,1.0,8,35,59,0
20,237.0,59.0,46.0,39.0,119.9,326.0,3.0,5.0,2,208,55,0
21,442.0,61.0,47.0,0.0,139.9,332.0,2.0,5.0,31,203,71,0
22,238.0,50.0,70.0,39.0,99.9,336.0,3.0,7.0,26,310,51,1
23,64.0,54.0,58.0,16.0,79.9,345.0,3.0,9.0,-1,35,57,0
24,375.0,98.0,47.0,45.0,29.9,351.0,3.0,2.0,1,18,61,0
25,304.0,46.0,19.0,39.0,129.9,360.0,3.0,9.0,26,0,61,0
26,39.0,99.0,67.0,26.0,4.95,368.0,3.0,14.0,4,171,45,0
27,97.0,96.0,66.0,27.0,89.9,373.0,3.0,4.0,3,410,65,0
28,484.0,96.0,63.0,73.0,49.9,373.0,3.0,4.0,3,410,65,1
29,254.0,54.0,39.0,5.0,79.9,377.0,3.0,9.0,16,159,57,0
30,572.0,97.0,17.0,47.0,199.95,379.0,3.0,9.0,4,0,76,0
